磨己荤捞促	a	100	2000	54
内墨妮扼	f	200	2500	46
苛荐荐荐堪瞒	b	100	1200	54
墨其扼都	s	50	2100	37
力林伙促荐	t	20	700	50
窍捞飘	f	100	2500	49
曼捞浇	g	150	1300	50
贸澜贸烦	h	80	1300	50
钙胶	i	100	2500	50
墨胶	j	95	2500	50
伙阿辫逛	k	25	800	50
顷俺荐瞒	a	50	1100	50
货快兵	b	110	1200	50
绊贰逛	c	20	1500	50
坷饭坷	d	40	2400	47
檬内抹	e	50	1500	50
曼柄扼搁	f	100	1500	50
厚忽搁	r	85	1200	50
楼颇霸萍	s	100	1000	50
呈备府	t	40	1100	50
公颇付	u	30	1300	50
脚扼搁	v	85	1300	50
腊拌厘荤惯搁	w	65	1400	50
荤府磅帕	x	120	1200	50
货快帕	y	110	1100	50
荐鸥搁	z	100	1200	50
坷隆绢芦煌	h	150	1400	50
其府坷摹距	i	80	2000	50
柳悼末贾	j	100	9900	50
厚穿	k	95	1100	50
努赴矩努府绢	l	125	12000	50
大扁赣府	m	50	18000	40
固厘季	n	95	19500	40
啊静厚	o	125	7500	47
苞老唱扼	p	50	3500	48
剧富	q	10	1000	47
胶鸥欧	a	20	2000	50
岿靛能	b	40	2500	50
捻矩农	c	50	950	50
浚檬	d	100	3500	50
皋肺唱	e	100	1000	50
abc檬妮房	f	50	3200	50
娩颇畯胶	g	80	500	50
饶扼焊畴	u	100	1000	50
格牡靛	v	95	1300	48
磊老府喷	w	80	2100	50
付老靛技红	x	100	2700	50
肺肚	a	95	5000	50
楷陛汗鼻	f	25	5000	50
富焊肺	d	50	3000	50
uu	yy	2	36
